Rank,Name,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
159,Assassin's Creed,Adventure,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,Action,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,Racing,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,Role-Playing,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,Platform,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,Racing,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,Platform,3.21,1.11,0.95,0.2,5.46
166,Pokemon Stadium,Strategy,3.18,1.24,0.94,0.09,5.45
167,Call of Duty: World at War,Shooter,2.72,1.87,0,0.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,Platform,2.07,2.29,0.24,0.82,5.42
169,Minecraft,Misc,1.97,2.51,0,0.94,5.42
170,Final Fantasy XIII,Role-Playing,1.74,1.24,1.87,0.52,5.36
171,Dr. Mario,Puzzle,2.18,0.96,2,0.2,5.34
172,Pokemon Pinball,Misc,3.02,1.12,1.01,0.16,5.31
173,Assassin's Creed III,Action,3.13,1.71,0.03,0.44,5.3
174,Final Fantasy IX,Role-Playing,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy X-2,Role-Playing,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong 64,Platform,3.33,0.79,1.09,0.06,5.27
177,Assassin's Creed II,Action,3.1,1.56,0.08,0.51,5.27
178,Professor Layton and the Curious Village,Puzzle,1.22,2.48,1.03,0.52,5.26
179,Tomb Raider II,Action,2.3,2.46,0.2,0.28,5.24
180,Madden NFL 2004,Sports,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,Role-Playing,0.65,0.75,3.61,0.2,5.21
182,Diablo III,Role-Playing,2.43,2.15,0,0.62,5.2
183,Super Mario Bros. 3,Platform,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,Platform,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,Platform,2.49,0.98,1.57,0.15,5.19
186,FIFA Soccer 13,Action,1.08,3.48,0.03,0.58,5.18
187,The Legend of Zelda: Phantom Hourglass,Action,1.9,1.83,0.95,0.49,5.17
